first_name,last_name,birthdate,height,club_member
Mark,Owens,12/30/1961,171.8,false
Jeremy,Shaw,1/22/1992,153.1,false
Michelle,Howell,7/3/2008,199.7,true
Brian,Bishop,9/28/2001,176.6,false
Christina,Stewart,4/17/1979,182.9,true
Edward,Russell,1/19/1977,183.2,true
Carl,Walker,6/29/1984,199.6,true
George,Jackson,6/7/1960,159.5,true
Frank,Gordon,3/8/1972,192.3,false
Antonio,Carpenter,11/12/1988,184.2,true
Todd,Bennett,1/14/1971,172.6,false
Joshua,Flores,7/28/1993,147,false
Ann,Lawson,7/8/1958,186.7,true
Diana,Harvey,2/18/1978,172,true
Jack,Boyd,3/31/1992,159.2,false
Gary,Armstrong,10/19/1999,188.4,true
Annie,Green,9/15/2004,190.2,true
Gerald,Campbell,9/15/2000,153.3,false
Carol,Nelson,4/30/1975,154.7,true
Carol,Reid,9/29/1998,156.7,false
Jeremy,Mills,4/17/1973,154.6,true
Donna,Day,10/2/1959,143.7,true
Sean,Simmons,1/25/1971,169,false
Jonathan,Carroll,10/24/1981,198.7,true
John,Brown,10/1/2013,186.8,false
Victor,Morris,4/5/2008,171.8,true
Roger,Gomez,4/22/2015,166.4,false
Teresa,Welch,3/21/2004,163.4,true
Mary,Webb,8/18/1968,189.3,false
Anna,Patterson,2/27/1962,176.5,false
Christina,Dean,1/5/2005,155.8,true
Annie,Price,8/2/1974,189.7,true
Timothy,Rodriguez,11/29/1984,151.2,false
Howard,Kelley,5/4/1966,165.6,false
Thomas,Roberts,9/17/2005,184.8,true
Juan,Howard,9/16/1969,189.8,false
Jeffrey,Torres,1/23/1968,189.8,false
Patricia,Lynch,1/10/1991,152.9,true
Virginia,Fisher,11/5/1992,143.1,true
Amy,Edwards,7/29/1963,157.2,true
Pamela,Freeman,2/20/1951,157.3,true
Margaret,Edwards,7/12/2007,199.1,false
Aaron,Long,2/16/2011,190.4,true
Lawrence,Walker,11/17/2003,190.6,true
Gloria,Carpenter,7/3/1978,177.2,true
Carol,Diaz,11/11/2008,161.9,true
Alan,Bishop,8/25/1976,143.3,false
Mary,Ramos,1/22/2011,152.2,false
Bruce,Marshall,1/17/2004,170.8,false
Heather,Tucker,5/17/1969,198.9,true
Craig,Lane,1/12/1975,181.7,true
Christopher,Willis,1/31/1965,188.9,false
Jesse,Arnold,11/17/1952,148.6,true
Norma,Cox,7/29/1961,191.2,true
Kathleen,Garcia,12/1/2014,147.9,true
Brenda,Lynch,8/11/2015,171.5,true
Cynthia,Cox,4/30/1984,180.5,false
Doris,Rodriguez,5/31/2007,193.4,true
Douglas,Larson,3/4/2011,164.2,true
Amy,Reynolds,1/24/2014,171.4,false
Thomas,Grant,12/12/1997,164.2,true
Jesse,Butler,2/22/1979,191.2,true
Bruce,Romero,6/15/1998,191.1,false
Gerald,Nguyen,10/24/2009,156.5,false
Sean,Kelly,11/19/1967,144.3,false
Bobby,Wells,4/27/1981,188.3,false
Joshua,Austin,1/29/1969,170.8,false
Shirley,Gordon,6/28/2013,144.7,false
Nicholas,Grant,10/2/1978,174.8,false
Jimmy,Arnold,11/4/1977,149.7,false
Joshua,Long,11/27/2005,152.4,false
Judith,Alvarez,9/12/1979,179.3,false
Frank,Howard,9/30/1998,149.1,true
Beverly,Campbell,6/15/2004,180.2,false
Jeffrey,Ramos,2/19/1954,186.8,true
Dorothy,Cruz,1/16/2009,160.3,false
Justin,Garcia,7/12/1977,145.4,true
Gregory,Long,1/11/1984,175.9,false
Matthew,Allen,5/5/2016,149.3,false
David,Jacobs,11/29/2009,169.4,true
Christopher,Wheeler,12/21/1988,163.4,false
George,Mason,2/9/1951,161.3,true
Robert,Hernandez,5/4/1976,145.5,false
Scott,Roberts,12/15/1991,193.8,false
Barbara,Burke,5/30/1986,157.2,false
George,Freeman,11/19/1953,196,false
Henry,Murray,6/9/1961,162.5,true
Amy,Boyd,3/19/1999,197.8,false
Katherine,Carroll,4/10/1998,142.7,true
Judy,Phillips,2/8/1966,194.2,true
Bonnie,Fernandez,6/30/2016,176.7,true
Chris,Carroll,4/30/1997,146.2,true
Kenneth,Hernandez,4/15/1971,156.2,true
Philip,Kennedy,4/8/2003,141.6,false
Jason,Bell,11/11/1964,192.3,false
Doris,Lynch,9/4/1955,163.1,true
Andrea,Washington,9/15/1967,188.3,false
Earl,Carroll,6/13/1998,199.7,false
Wayne,Kelly,3/3/1980,142.6,true
Irene,Romero,1/17/2010,177.9,true
Diana,Lee,1/21/1964,161,true
Paul,Edwards,9/9/1956,144.4,true
Sarah,Elliott,4/1/2006,170.5,true
Dennis,Cox,12/7/1966,176.5,false
Teresa,Mills,10/21/1954,197.8,false
Douglas,Watkins,4/4/2005,172.9,false
Theresa,Fisher,3/11/2007,152.2,false
Pamela,Robertson,3/31/1966,141,false
Andrew,Sanders,5/26/1976,151.2,true
Janice,Schmidt,5/19/1990,151,true
Judy,Gray,6/20/1991,164.6,false
Dennis,Griffin,7/27/1962,180.7,false
Kathy,Parker,1/23/2001,144.2,true
Helen,Porter,7/20/1959,152.5,false
Billy,Powell,6/2/1956,141.8,false
Thomas,Chapman,9/9/1982,148.8,false
Margaret,Hamilton,3/17/1981,198.2,false
Benjamin,Duncan,3/18/1979,140.9,true
Laura,Banks,11/29/1963,163.4,true
Melissa,Mcdonald,1/6/1979,146.5,false
Virginia,Washington,7/12/2000,199.3,false
Terry,Hanson,1/8/1974,179.1,false
Jeremy,Spencer,8/22/1956,166.2,false
William,Lynch,1/1/2011,152.7,true
Carolyn,Phillips,5/9/1967,166.8,true
Jerry,Mendoza,6/16/1990,188,true
Diana,Henderson,8/29/1953,143.3,false
Howard,Hughes,2/9/1975,182.2,false
Susan,Washington,7/11/1969,193.2,false
Paula,Owens,5/18/1958,190,true
Gerald,Bell,2/18/2005,163.1,false
Juan,Rivera,12/5/2012,179.2,true
Jose,Ellis,2/15/1972,192.7,false
Ralph,Ford,3/15/1988,170.1,true
Helen,Black,7/16/1968,166.2,false
Cynthia,Bowman,10/28/2003,183.7,false
Shirley,Brooks,7/17/1950,185.7,false
Donna,Garza,2/5/1988,162.1,false
Russell,Warren,7/5/1956,185.3,true
Jennifer,Foster,7/11/1995,193.9,true
Janet,Woods,1/5/1965,147.4,false
Timothy,Morris,6/12/1987,187.6,false
Steven,Sanchez,4/30/1994,165.1,false
Ruth,Wilson,3/13/2015,142.3,false
Ruth,Ortiz,7/11/1989,186,false
Albert,Harrison,8/29/1958,181.7,false
Teresa,Ross,7/13/1963,191.4,true
Jennifer,Riley,5/10/2007,190.7,true
Albert,Stephens,5/6/1967,146.7,false
Todd,Bailey,5/11/1994,163.3,true
Antonio,Kelly,9/25/1969,155.9,false
Debra,Nguyen,6/21/1971,186.7,false
Marilyn,Gonzales,3/11/1979,197.4,true
Alice,Morales,4/14/1979,173.5,true
Norma,George,8/29/2012,166.9,true
Kimberly,Stone,3/7/1978,152.2,true
Arthur,Torres,11/26/1953,196.4,false
Russell,Riley,10/28/1994,155.1,true
John,Phillips,2/9/1980,169.2,true
Ernest,Oliver,7/26/2000,192.4,true
Wayne,Carroll,12/20/1952,199.1,true
Frank,Freeman,12/18/1954,177.5,true
Thomas,Reynolds,1/1/1967,180.3,false
Donald,Carroll,5/27/1953,160.6,true
Martin,Riley,1/27/2002,190.7,true
Ryan,Hicks,4/6/1959,178.3,false
Judy,Reyes,10/11/2015,155.9,false
Fred,Ward,1/9/1992,158.9,true
Joe,Tucker,1/11/1967,160.2,false
Henry,Stanley,8/12/1961,169.7,false
Kimberly,Gonzales,1/5/2010,160.2,true
Joan,Davis,11/7/2016,149.9,false
Pamela,Gutierrez,3/15/1993,142.5,false
Shawn,Edwards,9/3/1961,197.2,false
Wanda,Ross,3/1/2002,188.7,true
Laura,Matthews,8/12/2011,156.6,true
Justin,Riley,1/7/1997,197.2,true
Frank,Marshall,4/2/1970,161.9,true
Paul,Griffin,1/31/2000,142.9,true
Annie,Lee,8/19/1958,153.7,false
Margaret,Gutierrez,1/8/2007,191.2,true
John,Webb,5/7/1994,142.3,false
Samuel,Nelson,5/20/2010,181.5,true
Nicholas,James,7/28/2006,188.8,true
Sean,Robertson,7/15/2001,161.5,true
Martha,Reed,10/11/2003,143.1,false
Billy,Collins,7/4/1950,183.3,false
Betty,Nguyen,1/8/1977,193.6,false
Ruby,Stone,4/7/1968,150,true
Martha,Carter,10/1/2002,189.6,false
Roy,Foster,10/21/1996,184.1,true
Kathleen,Meyer,10/19/1975,160.1,true
Mark,Harris,12/26/1990,196.7,false
Irene,Lewis,3/2/1951,153.6,false
Andrew,Bailey,10/17/1992,157.2,false
Marilyn,Day,8/17/1982,191.4,false
Stephanie,Bishop,4/3/1961,175,true
Rebecca,Ferguson,3/19/1968,158.9,true
Carolyn,Hart,1/22/2003,197.1,false
Shirley,Barnes,4/28/1973,176.3,false
Jose,Wells,6/5/1981,152.3,false
Wayne,Watson,9/16/2006,162.5,false
Anna,Reid,4/10/1999,144.4,false
Carl,Daniels,4/4/2011,181.1,false
Clarence,Lopez,5/8/1996,157.5,false
Brandon,Kelley,11/3/1963,199.7,true
Catherine,Allen,3/19/2007,188.1,false
Sarah,Murray,7/7/1966,172.6,true
Terry,Little,4/7/1971,196.9,true
Phyllis,Torres,3/17/1954,194.7,true
Paul,Flores,3/26/2003,189,true
Shawn,Gray,8/3/1954,157.1,true
Douglas,Watson,1/17/1989,172.7,false
Marilyn,Bailey,11/1/1972,150.2,true
Jean,Crawford,12/8/2008,154.8,false
Samuel,Garrett,7/1/1998,149.5,false
Judith,Garza,9/20/1964,151.4,true
Marilyn,Castillo,1/4/1955,176.5,true
Kelly,Oliver,2/16/1950,171.8,false
Phyllis,Hayes,4/7/1964,179.2,true
Scott,Reid,11/2/1993,152,true
Judy,Perkins,9/17/1966,143.2,true
Kenneth,Ramos,4/28/1999,152.9,true
Willie,Carroll,6/17/1987,154.8,false
Maria,Moreno,8/25/2015,197.8,true
Julie,Diaz,1/14/2006,158,true
Sean,Andrews,9/7/1976,193.8,true
Annie,Graham,3/3/1984,192.3,false
Albert,Lane,4/22/1968,161.5,false
Marie,Ryan,6/26/1955,147.2,false
Christopher,Bailey,6/9/2011,160.2,false
Christopher,Austin,7/21/2007,194.5,true
Henry,Parker,7/19/1963,165.7,false
Jessica,Foster,2/5/1999,151.7,true
Richard,Thomas,2/26/1987,149.4,false
Anna,Russell,5/6/2008,142.7,true
Melissa,Richardson,7/1/2015,173.2,true
Annie,Hughes,9/20/1986,170.6,true
Chris,Franklin,5/2/1993,197.5,true
Albert,Gilbert,11/8/1968,165.9,true
Debra,Scott,1/22/1991,184.8,true
Anthony,Washington,11/3/1967,141.7,false
Wanda,Lynch,6/15/2001,174.6,false
Howard,Bowman,3/11/1967,196.1,true
Joan,Hall,4/22/2006,179.7,true
Louise,Richards,12/30/1964,176.5,false
Charles,Warren,7/21/1971,152.5,true
Christina,Ward,5/6/1979,152.2,false
Andrea,Smith,5/21/1950,184.8,false
William,Crawford,9/13/1958,162,false
Teresa,Gomez,7/3/1984,145.1,true
Jean,Foster,7/4/1961,150.9,true
Ralph,Black,7/25/2015,179.1,true
Earl,Hanson,1/21/1998,199.7,false
Sharon,Cruz,11/26/2003,157.3,true
Patrick,Edwards,4/17/2004,191.5,true
Benjamin,Bryant,3/10/1986,189,false
Arthur,Dunn,1/20/1989,185.6,false
Dorothy,Berry,9/24/1972,176.5,true
Christina,Dixon,7/12/2006,183.8,false
Susan,Moore,1/10/1979,149.3,false
Sharon,Martin,11/13/2002,169.2,false
Lori,Matthews,2/22/2007,169,false
Ronald,Rose,4/7/1973,196.7,true
Frank,Fuller,3/22/1970,168.6,false
Ryan,Smith,6/24/2011,175.4,true
Phyllis,Martin,6/22/1977,156.7,false
Raymond,James,10/2/1955,181.7,false
Sara,Patterson,2/11/1980,197.5,false
Willie,Smith,4/17/1995,159.6,true
Douglas,Romero,4/20/1957,160.8,true
William,Powell,7/16/1984,177,true
Alan,Boyd,7/3/2006,155.7,false
Steven,Davis,5/31/1996,177.3,true
Alan,Fields,7/13/1984,146.4,true
Brian,Foster,1/11/1990,177.9,false
Karen,Alvarez,8/26/1972,151.4,true
Nicholas,Carr,12/24/1978,168.9,false
Debra,Bailey,5/10/1997,191.5,true
Doris,Duncan,8/11/1956,140.2,false
Jessica,Hicks,10/4/1995,157.3,true
Billy,James,12/5/1964,182.8,false
Helen,Burns,2/28/1972,179.3,true
Christopher,Ward,11/14/1965,159.6,false
Tammy,Bailey,5/30/1963,199.4,false
Lawrence,Fields,12/20/1980,183.7,true
Wayne,Shaw,3/21/1956,199.2,false
Jesse,Long,10/5/2010,165.7,true
Martin,Phillips,4/1/1989,189.9,true
Deborah,Myers,9/24/1964,159.4,false
Jacqueline,Taylor,7/4/1982,149.4,false
Michelle,Powell,12/30/2016,191.1,false
Julia,Moore,11/9/1999,181.7,false
Samuel,Anderson,1/4/1984,183.2,true
Billy,Washington,8/4/1990,193.8,true
Steve,Dunn,1/11/1974,151.5,true
Steven,Arnold,9/4/2002,154.4,false
Annie,Williamson,1/9/1994,197.5,false
Elizabeth,Price,9/27/1960,173.7,false
Harold,Richardson,8/26/1950,185.6,false
Howard,Rivera,1/17/1981,171.6,true
Patrick,Little,8/19/2016,193.8,true
Mildred,Harvey,3/13/1969,164.9,false
Douglas,Miller,8/24/2009,158.4,false
George,Lopez,2/23/2010,193.4,false
Earl,Sims,8/16/1977,148.5,true
Ashley,Gutierrez,4/20/1969,182.4,true
Louis,Adams,5/1/1992,193,true
Pamela,Wright,1/11/2008,157,true
Steve,Woods,1/6/1978,154.9,true
Ralph,Hunt,6/3/1969,162.8,false
Victor,Shaw,1/15/1957,179.5,true
Adam,Dunn,8/3/2008,195.7,false
Helen,Lynch,11/24/1994,184.5,true
Clarence,Fisher,3/11/1986,141.7,true
Kenneth,Garcia,3/11/1981,140.1,true
Russell,Diaz,8/18/1988,165.6,true
Helen,Simmons,11/21/2000,158.8,false
Edward,Sullivan,11/4/1955,194.5,true
Howard,Perry,8/16/1986,165.1,false
Antonio,Hanson,8/8/1950,146.4,true
Charles,Fowler,12/2/1982,157.8,false
Patrick,Warren,3/22/2005,190.9,true
Cynthia,Henry,6/26/2008,189.1,true
Cynthia,Butler,11/2/1989,171,false
Lillian,Warren,6/28/1976,175,false
Kevin,Ramos,4/28/1991,172.2,true
Susan,Oliver,9/25/1987,196.4,true
Bonnie,Gray,3/29/1969,159.4,true
Lois,Nelson,10/15/1979,165.1,false
Thomas,Fields,11/6/2004,177.5,true
Heather,Reynolds,9/9/1961,194.4,true
Dorothy,Snyder,9/9/1961,199.9,true
Joyce,Thomas,10/20/2008,176.4,true
Ann,Phillips,11/22/1953,197.8,true
Cheryl,Greene,11/21/1988,179.8,true
Edward,Jacobs,7/2/1992,146.6,true
Wanda,Ramirez,2/12/1984,157.8,true
Charles,Pierce,9/3/1973,157.6,false
John,Edwards,9/30/1990,197.8,true
Thomas,Martinez,9/7/1960,186.3,false
Nicholas,Brooks,4/10/1964,162.1,true
Theresa,Foster,1/7/1990,194.6,true
Jennifer,Weaver,10/7/1954,198.5,true
Ryan,Gonzales,4/9/1964,146,true
Patricia,Moore,2/5/2004,187.5,true
Lori,Perry,2/18/2011,192.7,true
Kathleen,Meyer,7/29/1958,147.8,false
Scott,Peterson,7/2/1972,140.6,true
Roger,Oliver,10/20/1974,147.5,false
Elizabeth,Hamilton,1/10/1992,163.7,false
Andrea,Ellis,5/16/1980,178,true
Joseph,Gonzalez,3/2/1973,199.8,false
Evelyn,Carpenter,4/11/1960,180.9,true
Lisa,Hanson,11/4/1969,142.8,false
Heather,Fernandez,11/3/2003,173.5,false
Nancy,Boyd,6/18/1979,178.1,true
Jimmy,Duncan,2/6/1965,165,true
Ann,Bradley,4/10/2006,158.2,false
Harry,Jordan,8/28/1965,190.2,true
Albert,Martinez,7/18/1984,171.2,true
Scott,Castillo,7/29/1996,151.4,false
Jonathan,Harper,8/17/2009,197.3,false
Larry,Lane,1/29/1982,162.3,true
Jeremy,Wood,7/16/1970,180.4,false
Catherine,Cunningham,6/29/2001,145,true
Heather,Grant,9/14/1997,165.5,true
Douglas,Morgan,11/8/2005,142.1,true
Todd,Gonzalez,9/29/1973,143.9,false
Joshua,Mccoy,2/25/2012,186.2,false
Jean,Hicks,4/18/2000,158.1,false
Sandra,Ward,3/5/1967,159.5,false
Eugene,Griffin,5/16/2011,189.3,false
Rebecca,Berry,1/15/1999,151.8,false
Frank,Murray,11/3/1998,183.4,true
William,Richards,4/24/1978,190.8,false
Bruce,Parker,8/16/1967,172.4,true
Janice,Bishop,9/26/2002,151.9,true
Albert,Cook,3/25/1987,178.9,false
Walter,Vasquez,8/14/2015,199,true
Michelle,Jackson,5/31/1961,157.4,false
Rose,Lawrence,12/12/1971,148.5,false
Carl,Jacobs,6/30/1982,195.8,true
Roger,Peters,12/26/1962,168.2,false
Barbara,Hansen,9/2/2005,185.6,true
Douglas,Ramos,3/16/2016,172.7,false
Mildred,Moore,4/19/1967,155.9,true
Rebecca,Tucker,6/11/1974,153.4,true
Joshua,Kelley,7/7/2004,147.3,true
Roy,Bell,9/12/2004,155.8,false
Philip,Mills,12/18/2007,197.8,false
Ashley,Edwards,9/8/1952,143.4,false
George,Reid,12/26/1991,196.5,true
Steven,Oliver,11/14/2002,173.5,true
Chris,Holmes,10/3/1951,153.2,true
Pamela,Hawkins,10/29/2001,143.7,true
Henry,Cook,5/27/2002,164.5,false
Diane,White,11/27/1965,171.3,true
Frank,Moore,7/23/1974,151.2,false
Barbara,Hanson,4/29/1961,145.7,false
Bobby,Rice,6/15/2012,189.6,true
Harold,Simpson,10/15/1997,182.7,true
Andrea,Hernandez,5/2/1975,147,false
Jack,Medina,12/26/1969,161.7,true
Shirley,Torres,11/4/1960,179.6,false
Thomas,Carter,6/27/1955,167.6,true
Philip,Nguyen,7/23/1952,166.7,true
Charles,Patterson,9/28/1968,143.6,true
Tina,Porter,8/15/1957,175,true
Heather,Wright,3/26/2014,170.5,false
Robin,Parker,2/3/1995,185.6,true
Wanda,Baker,8/26/1951,189.6,true
Paula,Harvey,7/3/1976,163.9,true
Diana,Miller,10/21/1979,141.7,true
Andrea,Marshall,1/21/1973,149.8,true
Jeremy,Sanders,9/17/2016,188.6,false
Anthony,Warren,6/14/2016,181,true
Heather,Gordon,7/6/1980,165.8,true
Linda,Bowman,4/23/1958,169.9,true
Charles,Powell,7/10/1958,199.4,true
Marie,Brooks,9/3/2002,185.6,true
Susan,Greene,4/6/1982,180.9,false
Brian,Rice,4/28/1964,191.8,false
Robin,Perkins,4/3/1999,159.4,false
Lori,Henderson,7/28/2006,159,true
Craig,Sanders,5/3/1954,171.7,false
Philip,Cook,5/11/2013,151.4,true
Samuel,Banks,7/23/2005,163.6,true
Sharon,Berry,12/17/1990,191.2,true
Karen,Reynolds,5/19/1957,165.5,false
Kimberly,Ramos,10/20/1976,144.5,false
Jesse,Fox,5/10/1997,187.5,false
Karen,Patterson,12/12/1974,179.4,true
Pamela,Shaw,10/20/2006,162.2,false
Antonio,Bowman,2/26/1996,145,false
Jane,Ross,11/24/1955,184.7,false
Joyce,Bowman,5/25/1986,179.6,false
Carl,Black,10/29/1989,196.7,false
Ronald,Lane,2/20/2005,163.7,true
Kenneth,Griffin,8/13/1987,197.1,true
Debra,Meyer,2/2/2012,155.7,true
Stephen,Alexander,5/26/2003,191.5,true
Patrick,Rice,9/29/2000,144.2,true
Anna,Davis,2/17/1991,168.4,true
Jason,Crawford,9/17/1983,147.3,true
Edward,Warren,11/5/2008,186.2,false
Carlos,Schmidt,10/1/1994,175.9,true
Howard,Cooper,1/12/1999,164.6,false
Susan,Thomas,12/10/1999,192.9,false
Johnny,Chapman,12/20/1960,142.8,false
Andrew,Hunt,4/1/1983,182.2,false
Nancy,Shaw,5/2/2000,176.4,true
Lawrence,Pierce,5/19/1986,142.9,false
Randy,Pierce,1/12/1994,192.9,true
Michael,Hayes,7/12/1983,151.5,false
Alan,Allen,11/7/2014,187.4,true
Sean,Hansen,8/11/1983,194.2,false
Denise,Bell,5/23/2014,155.3,false
Shawn,Jones,7/26/1986,186.7,false
Julie,Simpson,9/26/1994,196.9,true
Patricia,Fuller,5/18/1975,145.2,true
Cynthia,Gomez,4/10/1978,196.5,false
Billy,Stewart,8/30/1961,195.3,false
Cheryl,Freeman,6/7/1983,189.5,false
Frank,Scott,11/13/1967,153.8,false
Brian,Hunt,12/23/1983,143,true
Kathryn,Richardson,7/6/1987,182.5,true
Wanda,Medina,5/23/1984,155.1,true
